-8*~v1*(v0&v1)-8*~v1*(v0&~v1)+10*~v1*v0+3*~v1*~(v0|v1)+8*(v0^v1)*(v0&v1)+8*(v0^v1)*(v0&~v1)-10*(v0^v1)*v0-3*(v0^v1)*~(v0|v1)-3*~v1*(v0|~v1)-1*~v1*~v0+3*(v0^v1)*(v0|~v1)+1*(v0^v1)*~v0,1*~v1-1*(v0^v1)
3*(v0&v1)*(v0&v1)-3*(v0&v1)*(v0&~v1)-6*(v0&v1)*~(v0|v1)-12*(v0&v1)*~(v0|~v1)+1*~(v0&v1)*(v0&v1)+5*~(v0&v1)*(v0&~v1)-6*~(v0&v1)*(v0|~v1)+2*~(v0&v1)*v1+6*~(v0&v1)*~(v0|v1)-6*(v0&v1)*~(v0^v1)+9*(v0&v1)*~v0+2*~(v0&v1)*~(v0^v1)-3*~(v0&v1)*~v0,3*(v0&v1)+1*~(v0&v1)
-34*~v1*(v0&v1)-36*~v1*(v0&~v1)+12*~v1*~(v0&v1)+10*~v1*~(v0^v1)-24*~v1*~(v0|v1)-36*~v1*~(v0|~v1)+17*v1*(v0&v1)+18*v1*(v0&~v1)-6*v1*~(v0&v1)-5*v1*~(v0^v1)+12*v1*~(v0|v1)+18*v1*~(v0|~v1)+22*~v1*(v0|v1)-11*v1*(v0|v1),2*~v1-1*v1
10*v0*(v0&v1)+10*v0*(v0&~v1)-13*v0*~(v0|v1)-13*v0*~(v0|~v1)+12*v0*~v0+4*~(v0|~v1)*(v0&v1)+4*~(v0|~v1)*(v0&~v1)+20*~(v0|~v1)*~(v0&~v0)-22*~(v0|~v1)*~(v0|v1)-22*~(v0|~v1)*~(v0|~v1)+4*~(v0|~v1)*~v0-11*v0*v0-22*~(v0|~v1)*v0,1*v0-2*~(v0|~v1)
-15*(v0&v1)*(v0&v1)-20*(v0&v1)*(v0^v1)-25*(v0&v1)*~(v0&v1)+10*(v0&v1)*~(v0|v1)-12*~(v0|v1)*(v0&v1)-16*~(v0|v1)*(v0^v1)-20*~(v0|v1)*~(v0&v1)+8*~(v0|v1)*~(v0|v1)+40*(v0&v1)*(v0&~v1)+10*(v0&v1)*~(v0&~v1)+30*(v0&v1)*~(v0|~v1)+32*~(v0|v1)*(v0&~v1)+8*~(v0|v1)*~(v0&~v1)+24*~(v0|v1)*~(v0|~v1),5*(v0&v1)+4*~(v0|v1)
-6*(v0^v1)*(v0&v1)-7*(v0^v1)*(v0&~v1)+5*(v0^v1)*(v0|~v1)-2*(v0^v1)*~(v0|~v1)+12*(v0&~v1)*(v0&v1)+14*(v0&~v1)*(v0&~v1)-10*(v0&~v1)*(v0|~v1)+4*(v0&~v1)*~(v0|~v1)+1*(v0^v1)*~(v0&v1)-7*(v0^v1)*~(v0|v1)-2*(v0&~v1)*~(v0&v1)+14*(v0&~v1)*~(v0|v1),1*(v0^v1)-2*(v0&~v1)
27*(v0&v1)*(v0&v1)-27*(v0&v1)*(v0&~v1)-27*(v0&v1)*~(v0|v1)+27*(v0&v1)*~(v0|~v1)+407*v1*(v0&v1)+231*v1*(v0&~v1)-242*v1*~(v0&~v0)-110*v1*~(v0&~v1)+341*v1*~(v0|v1)+407*v1*~(v0|~v1)-36*(v0&v1)*v1+18*(v0&v1)*~v1-44*v1*v1+22*v1*~v1,9*(v0&v1)-11*v1
2*~v0*(v0&v1)-20*~v0*(v0&~v1)-4*~v0*(v0|~v1)-2*~v0*~(v0|~v1)+3*(v0&~v1)*(v0&v1)+14*(v0&~v1)*(v0&~v1)-4*(v0&~v1)*v0-1*(v0&~v1)*~(v0|~v1)-20*~v0*~(v0|v1)+22*~v0*~v1+10*(v0&~v1)*~(v0|v1)-11*(v0&~v1)*~v1,2*~v0+1*(v0&~v1)
-11*v1*(v0&~v1)+1*v1*v0-10*v1*~(v0|v1)-10*v1*~(v0|~v1)+11*v0*(v0&~v1)-1*v0*v0+10*v0*~(v0|v1)+10*v0*~(v0|~v1)+11*v1*~(v0&v1)-11*v0*~(v0&v1),-1*v1+1*v0
30*(v0^v1)*(v0&v1)+28*(v0^v1)*(v0&~v1)-28*(v0^v1)*(v0|v1)+2*(v0^v1)*~(v0|v1)+32*(v0^v1)*~(v0|~v1)-3*v1*(v0&v1)-2*v1*(v0&~v1)+2*v1*v1-1*v1*~(v0|v1)-2*v1*~(v0|~v1)+2*(v0^v1)*(v0|~v1)-2*(v0^v1)*~(v0&~v1)+1*v1*(v0|~v1)-1*v1*~(v0&~v1),-2*(v0^v1)+1*v1
